Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, head, mind
Topic 923 (0.00): interview, job, candidate, interviews, interviewer, candidates, person, experience, selection, questions
Topic 1196 (0.00): model, models, modelling, simulation, behaviour, results, process, fit, effects, series
Topic 1263 (0.00): failed, failure, success, attempt, efforts, attempts, succeeded, successful, time, proved
Topic 1252 (0.00): file, records, record, files, index, track, storage, overflow, data, access
Topic 772 (0.00): society, societies, social, anthropologists, kinship, anthropology, history, property, primitive, human
Topic 999 (0.00): infection, bacteria, bacterial, infections, antibiotics, organisms, strain, found, organism, infected
Topic 1119 (0.00): notes, bass, note, chord, chords, played, play, solo, string, bars
Topic 1466 (0.00): file, program, command, line, data, function, statement, format, characters, string
Topic 982 (0.00): stimulus, inhibition, latent, training, subjects, stimuli, context, conditioning, test, acquired
Topic 1386 (0.00): pressure, temperature, energy, gas, solution, mass, equation, liquid, molar, reaction
Topic 979 (0.00): coal, miners, industry, mining, pit, pits, mines, colliery, mine, miner
Topic 1005 (0.00): gay, lesbian, lesbians, homosexual, homosexuality, sexual, sex, heterosexual, sexuality, gays
Topic 898 (0.00): credit, people, consumer, cost, money, bank, loans, customers, loan, trading
Topic 283 (0.00): equation, expectations, output, model, rational, aggregate, period, demand, hypothesis, price
Topic 628 (0.00): philosophy, knowledge, ideas, nature, idea, experience, mind, natural, philosophical, philosophers
Topic 900 (0.00): fruit, apple, apples, tree, fruits, trees, oranges, varieties, nuts, garden
Topic 529 (0.00): expert, parties, arbitration, dispute, decision, court, experts, arbitrator, disputes, determination
Topic 659 (0.00): music, notes, harmony, melody, note, harmonic, form, rhythmic, chords, musical
Topic 558 (0.00): information, user, search, library, database, online, microcomputer, users, retrieval, searching
Topic 201 (0.00): frequency, input, signal, figure, output, filter, circuit, impedance, equation, section
Topic 411 (0.00): fraud, money, financial, investors, company, compensation, trade, million, bank, report
Topic 641 (0.00): syllable, words, stress, syllables, word, vowel, intonation, sounds, pitch, sound
Topic 1261 (0.00): income, wealth, distribution, equality, inequalities, inequality, society, social, economic, poor
Topic 1289 (0.00): amiss, bit, sir, sort, dear, club, time, suppose, job, chap
Topic 857 (0.00): breed, cattle, breeds, red, white, beef, milk, type, cows, bulls
Topic 168 (0.00): style, language, text, literary, linguistic, metaphor, stylistic, features, reader, poetic
Topic 717 (0.00): camera, shot, shots, film, lens, camcorder, picture, scene, cameras, action
Topic 1255 (0.00): beer, brewery, brewing, brewers, whisky, beers, ale, breweries, pubs, lager
Topic 449 (0.00): property, agent, estate, agents, properties, sale, market, selling, agency, sell
Topic 1476 (0.00): notes, study, lecture, subject, ideas, reading, lectures, students, read, chapter
Topic 1167 (0.00): motor, torque, phase, position, current, rotor, stepping, load, step, rate
Topic 657 (0.00): education, academic, knowledge, student, students, discipline, disciplines, curriculum, courses, critical
Topic 6 (0.00): months, period, month, time, weeks, august, twelve, short, eighteen, days
Topic 798 (0.00): regional, region, regions, development, local, national, northern, east, south, central
Topic 1017 (0.00): miss, honey, school, headmistress, class, time, father, children, cried, dear
Topic 1389 (0.00): football, fans, violence, boys, hooligans, hooliganism, hooligan, youth, street, disorder
Topic 1341 (0.00): insurance, life, plan, policy, cover, assurance, accident, benefits, monthly, sum
Topic 714 (0.00): consent, patient, treatment, doctor, medical, decision, doctors, refusal, minor, law
Topic 627 (0.00): air, airlines, airline, airport, aircraft, airways, flight, aviation, passengers, international
Topic 231 (0.00): bus, transport, buses, public, services, passengers, travel, service, car, rail
Topic 642 (0.00): earth, moon, surface, figure, mercury, atmosphere, planet, lunar, solar, impact
Topic 724 (0.00): field, magnetic, electric, current, charge, voltage, flux, charges, potential, fields
Topic 921 (0.00): port, ferry, dock, ports, docks, harbour, company, cargo, ships, shipping
Topic 175 (0.00): united, kingdom, countries, nations, country, northern, time, community, international, overseas
Topic 468 (0.00): light, waves, sound, bat, frequency, bats, frequencies, detect, range, world
Topic 625 (0.00): humour, jokes, comedy, comic, joke, funny, laugh, laughter, audience, comedian
Topic 1235 (0.00): pockets, tent, nylon, bag, fabric, jacket, zip, fleece, bags, comfortable
Topic 1311 (0.00): ace, doctor, lacuna, pool, pod, looked, shuttle, station, space, suit
Topic 401 (0.00): radiation, lead, exposure, cancer, leukaemia, dose, health, levels, risk, nuclear
Topic 1113 (0.00): left, hemisphere, subjects, visual, task, speech, field, brain, stimuli, ear
Topic 1338 (0.00): instruction, store, computer, instructions, accumulator, operation, set, bit, field, location
Topic 16 (0.00): social, international, relations, explanation, individuals, realism, action, explanations, account, world
Topic 822 (0.00): station, railway, stations, railways, central, built, building, line, style, lines
Topic 1034 (0.00): wind, storm, rain, lightning, thunder, winds, blowing, sky, clouds, hurricane
Topic 47 (0.00): oil, herbs, oils, essential, leaves, plant, herb, aroma, dried, medicinal
Topic 528 (0.00): hand, finger, fingers, hands, thumb, left, head, mouth, nose, palm
Topic 41 (0.00): contract, contracts, tender, competitive, tendering, contractors, services, company, suppliers, companies
Topic 497 (0.00): sally, sergeant, inspector, mills, chief, superintendent, murder, detective, told, eyes
Topic 1262 (0.00): john, time, told, home, left, grant, called, friend, met, people
Topic 929 (0.00): arm, oral, plates, tentacle, disk, shields, spines, scales, shield, covered
Topic 611 (0.00): infection, worms, larvae, eggs, clinical, worm, signs, species, host, parasitic
Topic 167 (0.00): light, jay, lighting, lights, lamps, lamp, cable, switch, electrical, circuit
Topic 644 (0.00): immigration, immigrants, country, passport, people, citizens, citizenship, foreign, illegal, countries
Topic 701 (0.00): poor, workhouse, board, guardians, relief, hospital, committee, infirmary, medical, master
Topic 869 (0.00): index, measure, ratio, measures, performance, ratios, indicators, measurement, average, measured
Topic 1251 (0.00): stolen, security, police, thieves, thief, home, theft, house, crime, car
Topic 242 (0.00): examination, examinations, candidates, level, grade, certificate, exam, grades, pass, test
Topic 1457 (0.00): camp, war, prisoners, escape, people, camps, time, food, prison, prisoner
Topic 1472 (0.00): fish, fishing, salmon, fishermen, sea, trout, cod, boats, catch, caught
Topic 1298 (0.00): witchcraft, magic, spirits, evil, spirit, devil, powers, occult, power, psychic
Topic 1327 (0.00): rope, tied, round, ropes, knot, feet, tie, top, attached, wire
Topic 1221 (0.00): game, play, games, playing, chess, played, player, board, rules, players
Topic 554 (0.00): rose, coffin, house, time, looked, street, boy, lane, biff, terry
Topic 471 (0.00): brother, brothers, sister, family, sisters, father, mother, uncle, cousins, elder
Topic 1078 (0.00): peace, war, international, league, world, nations, government, pacifist, foreign, movement
Topic 914 (0.00): convention, evidence, service, court, united, law, documents, article, request, civil
Topic 445 (0.00): contractor, construction, building, contract, cost, project, builder, site, surveyor, labour
Topic 833 (0.00): united, oxford, town, goal, win, season, game, tomorrow, team, week
Topic 520 (0.00): cave, rock, caves, limestone, gill, underground, feet, fell, pot, entrance
Topic 1054 (0.00): father, riddle, time, looked, uncle, garland, shop, sir, house, suppose
Topic 145 (0.00): change, changed, modern, traditional, ago, attitude, time, attitudes, days, times
Topic 716 (0.00): structure, residues, domain, protein, base, helix, data, molecules, interactions, complex
Topic 829 (0.00): metal, iron, copper, metals, steel, lead, alloy, silver, bronze, zinc
Topic 875 (0.00): forest, king, forests, royal, foresters, crown, justice, dean, woods, deer
Topic 0 (0.00): wine, wines, champagne, grape, grapes, bottle, sparkling, bottles, dry, flavour
Topic 1439 (0.00): status, social, society, stratification, system, class, position, caste, prestige, inequality
Topic 387 (0.00): foreign, diplomatic, century, ambassador, diplomacy, diplomats, government, relations, embassy, international
Topic 1434 (0.00): office, staff, post, offices, department, business, head, secretary, secretaries, telephone
Topic 257 (0.00): smoking, tobacco, cigarette, smoke, cigarettes, smokers, cancer, health, lung, smoked
Topic 530 (0.00): eruption, lava, volcanic, volcano, volcanoes, eruptions, ash, magma, surface, crater
Topic 51 (0.00): list, lists, names, items, include, item, listed, included, listing, addresses
Topic 544 (0.00): psychology, feminist, psychologists, psychological, women, gender, social, subject, differences, subjects
Topic 1123 (0.00): move, direction, moving, movement, backwards, forward, moves, moved, forwards, opposite
Topic 588 (0.00): plant, plants, genetic, control, pest, pests, biotechnology, pesticides, resistance, chemicals
Topic 311 (0.00): emperor, hydra, valence, power, biff, warp, imperial, human, fists, sergeant
Topic 938 (0.00): sailing, board, sail, wind, winds, water, rig, boards, dinghy, boom
Topic 63 (0.00): hero, adventure, heroes, honour, story, romantic, character, book, courage, life
Topic 68 (0.00): muscles, segment, insects, head, segments, form, body, wings, insect, dorsal
Topic 1198 (0.00): damages, loss, compensation, award, plaintiff, claim, awarded, court, amount, sum
Topic 1145 (0.00): sword, knife, blade, knives, weapon, weapons, armour, swords, shield, sharp
Topic 639 (0.00): futures, price, index, prices, spot, contract, delivery, market, volatility, arbitrage
Topic 1258 (0.00): fusion, energy, neutrons, hydrogen, nuclear, helium, heat, nuclei, atomic, plasma
Topic 1015 (0.00): wood, timber, tools, furniture, carving, piece, oak, grain, finish, workshop
Topic 56 (0.00): owl, bone, bones, prey, species, assemblages, predator, digestion, teeth, owls
Topic 557 (0.00): innovation, creative, ideas, creativity, thinking, technology, process, people, innovations, development
Topic 1256 (0.00): client, clients, firm, lawyer, lawyers, instructions, practice, ensure, legal, law
Topic 645 (0.00): aunt, uncle, dear, miss, house, mother, tea, time, pleasure, grace
Topic 85 (0.00): speed, fast, faster, slow, time, pace, speeds, slower, rate, running
Topic 1351 (0.00): partners, firm, partnership, partner, business, practice, agreement, share, firms, profits
Topic 136 (0.00): police, arrest, peace, breach, constable, public, law, person, act, duty
Topic 1229 (0.00): alcohol, drink, drinking, alcoholic, drinks, people, wine, drunk, beer, consumption
Topic 1142 (0.00): ideas, idea, concept, thinking, people, mind, time, suggestions, project, book
Topic 882 (0.00): cart, horse, horses, donkey, road, yard, wagon, time, village, home
Topic 501 (0.00): screening, genetic, congenital, handicap, mental, risk, abnormalities, gene, affected, syndrome
Topic 1259 (0.00): soviet, military, gulf, security, neutralisation, foreign, region, countries, union, world
Topic 94 (0.00): messiah, time, rabbi, tradition, roman, testament, gospels, biblical, religious, synagogue
Topic 1460 (0.00): object, objects, material, form, world, nature, subject, relationship, culture, artefact
Topic 576 (0.00): publisher, agreement, party, parties, video, schedule, rights, terms, licensed, trade
Topic 579 (0.00): coins, coin, coinage, found, roman, century, ad, evidence, silver, hoards
Topic 876 (0.00): ideology, knowledge, social, consciousness, sociology, relations, theory, science, practice, ideological
Topic 1007 (0.00): net, turnover, quarter, rose, time, share, losses, profits, profit, reported
Topic 925 (0.00): paper, white, government, proposals, published, policy, review, report, green, public
Topic 197 (0.00): attention, focus, concentration, time, draw, pay, attract, drawing, paid, importance
Topic 538 (0.00): mick, miles, tent, sand, desert, paddy, day, camp, land, water
Topic 966 (0.00): creole, speaker, conversation, speakers, discourse, topic, talk, conversational, features, speech
Topic 1407 (0.00): trust, income, trustees, property, settlement, resident, trustee, benefit, beneficiary, trusts
Topic 1140 (0.00): consideration, contract, promise, agreement, pay, obligation, plaintiff, payment, defendant, sum
Topic 972 (0.00): time, tasks, spent, task, spend, activities, difficult, amount, day, priorities
Topic 545 (0.00): tenant, rent, tenancy, possession, tenants, landlord, lease, act, term, leases
Topic 456 (0.00): remedy, remedies, patient, symptoms, homoeopathic, treatment, homoeopathy, dose, potency, disease
Topic 29 (0.00): design, space, assembly, cad, geometric, data, figure, drawing, file, system
Topic 796 (0.00): petrol, fuel, diesel, cars, car, engine, engines, lead, unleaded, vehicles
Topic 1271 (0.00): terms, contract, standard, conditions, parties, contracts, buyer, seller, party, business
Topic 1099 (0.00): sexual, desire, difference, homosexuality, sexuality, homosexual, identity, gender, masculinity, social
Topic 1111 (0.00): class, classes, middle, social, ruling, upper, time, lower, differences, dominant
Topic 998 (0.00): search, node, algorithm, nodes, path, tree, goal, set, space, learning
Topic 607 (0.00): flowers, design, picture, flower, pressed, leaves, frame, press, create, roses
Topic 997 (0.00): law, theory, liberal, liberalism, dicey, social, political, liberty, theories, conception
Topic 695 (0.00): investment, business, customer, firm, rules, customers, services, person, private, authorised
Topic 685 (0.00): matrix, form, elements, equation, matrices, diagonal, equations, element, column, columns
Topic 871 (0.00): experiment, experiments, experimental, results, subjects, effect, subject, laboratory, conditions, experimenter
Topic 788 (0.00): data, database, relation, model, figure, attributes, relational, entity, relations, key
Topic 874 (0.00): species, elephant, trade, wildlife, elephants, conservation, endangered, world, ivory, cites
Topic 995 (0.00): post, mail, office, stamps, delivery, stamp, postal, letter, service, send
Topic 1105 (0.00): task, performance, tasks, human, operator, skills, skill, information, required, analysis
Topic 723 (0.00): death, died, inquest, coroner, told, verdict, deaths, suicide, found, yesterday
Topic 1220 (0.00): image, images, screen, imaging, resolution, display, pixel, scanner, colour, picture
Topic 1246 (0.00): propositions, ontological, properties, sense, concept, existence, idea, relations, proposition, exist
Topic 1323 (0.00): bond, bonds, yield, rate, maturity, price, coupon, cent, yields, payment
Topic 53 (0.00): learning, behaviour, response, animal, stimulus, learn, food, responses, learned, behavioural
Topic 1481 (0.00): discovery, found, search, discovered, time, story, revealed, led, mystery, treasure
Topic 1438 (0.00): figure, vertical, horizontal, line, shown, axis, left, lines, diagram, lower
Topic 566 (0.00): workers, temporary, labour, employment, casual, agency, permanent, force, seasonal, jobs
Topic 1132 (0.00): standards, standard, quality, requirements, level, set, ensure, meet, practice, performance
Topic 1226 (0.00): punishment, death, penalty, capital, penal, corporal, criminal, crime, law, abolition
Topic 912 (0.00): eggs, egg, nest, female, cuckoo, hatch, male, host, lay, species
Topic 1268 (0.00): grains, grain, minerals, sediment, particles, size, mineral, sediments, quartz, rock
Topic 1050 (0.00): question, answer, questions, answered, law, response, time, examiner, answering, words
Topic 237 (0.00): paid, money, payment, law, pay, payments, principle, demand, duress, action
Topic 194 (0.00): libel, action, public, law, sue, corporation, reputation, defamation, statement, damages
Topic 1377 (0.00): pupils, questions, test, success, tests, criteria, criterion, pupil, tasks, items
Topic 183 (0.00): cat, cats, animal, pet, kitten, feline, kittens, owners, dog, animals
Topic 1060 (0.00): age, life, ageing, ages, people, youth, time, late, middle, aged
Topic 1405 (0.00): electricity, boards, industry, power, consumers, supply, board, gas, central, demand
Topic 1162 (0.00): doctor, bishop, time, miles, piper, forward, replied, cell, mind, sighed
Topic 1210 (0.00): shop, vehicles, carriage, built, fitted, wheels, coach, body, vehicle, train
Topic 1296 (0.00): strength, material, stress, materials, crack, glass, fracture, fibres, surface, brittle
Topic 658 (0.00): stone, stones, rock, found, age, burial, circle, ancient, standing, time
Topic 1101 (0.00): tom, willie, terry, boy, mister, porter, time, read, yer, bit
Topic 927 (0.00): trench, piper, orchard, commando, brigade, road, village, wounded, commandos, time
Topic 397 (0.00): colonial, imperial, empire, rule, independence, colonies, native, administration, government, commonwealth
Topic 839 (0.00): life, quality, living, live, expectancy, death, lives, time, person, lived
Topic 481 (0.00): embryos, microscope, section, surface, slide, solution, glass, thin, cells, sections
Topic 198 (0.00): billy, bit, real, sort, cos, pretty, round, summat, people, stuff
Topic 474 (0.00): universe, time, theory, laws, matter, bang, gravity, principle, relativity, science
Topic 638 (0.00): copyright, patent, patents, invention, program, design, computer, infringement, protection, law
Topic 1192 (0.00): fishing, community, vessel, vessels, article, law, nationality, court, commission, establishment
Topic 1012 (0.00): responsibility, blame, people, responsible, wrong, fault, accept, guilt, person, actions
Topic 812 (0.00): trust, trusts, words, legacy, estate, intention, heir, property, law, beneficiary
Topic 419 (0.00): word, words, spelling, letters, reading, letter, visual, model, recognition, system
Topic 11 (0.00): band, bands, playing, gigs, wedding, time, gig, tour, play, played
Topic 1339 (0.00): boy, hank, boys, girl, school, son, mother, time, child, father
Topic 1085 (0.00): space, satellite, satellites, launch, shuttle, programme, earth, rocket, launched, craft
Topic 1357 (0.00): records, record, diary, diaries, recorded, registers, register, recording, entry, date
Topic 333 (0.00): myth, tragedy, art, music, classical, tragic, world, life, poetry, drama
Topic 746 (0.00): house, houses, building, built, homes, build, people, owners, family, home
Topic 308 (0.00): district, education, board, adult, courses, rural, classes, provision, university, tutors
Topic 259 (0.00): refugees, asylum, people, refugee, country, home, government, repatriation, boat, united
Topic 1424 (0.00): eye, eyes, light, lenses, vision, lens, glasses, retina, image, contact
Topic 415 (0.00): theory, observation, science, theories, statements, scientific, observations, hypothesis, induction, laws
Topic 744 (0.00): faith, doubt, god, christian, truth, doubts, belief, true, understanding, people
Topic 535 (0.00): god, human, life, created, religion, time, civilisation, goodness, evolution, religious
Topic 246 (0.00): disease, addictive, sufferer, recovery, addiction, anonymous, primary, sufferers, consequences, family
Topic 1364 (0.00): fascism, fascist, fascists, political, movement, national, war, organization, meeting, party
Topic 1320 (0.00): humans, looked, store, human, time, ship, truck, quarry, lot, people
Topic 1150 (0.00): retirement, age, workers, people, employment, labour, pension, retired, pensions, elderly
Topic 1253 (0.00): hunt, hunting, fox, deer, hounds, foxes, shooting, field, land, grouse
Topic 227 (0.00): lifespan, file, process, directory, files, user, configuration, command, error, section
Topic 64 (0.00): situation, difficult, time, cope, deal, dealing, situations, circumstances, hard, lack
Topic 25 (0.00): candy, eyes, viola, club, time, returned, burns, simply, life, stage
Topic 117 (0.00): tunnel, channel, rail, cross, link, king, project, transport, route, government
Topic 908 (0.00): mosaic, mosaics, pi, pavement, pavements, designs, north, design, squares, central
Topic 127 (0.00): birthday, anniversary, day, celebrations, party, time, celebrate, celebrated, happy, celebrating
Topic 942 (0.00): map, maps, data, spatial, survey, boundaries, ordnance, grid, mapping, scale
Topic 1181 (0.00): oxygen, breathing, lung, respiratory, air, chest, lungs, rate, pulse, heart
Topic 213 (0.00): stars, star, binoculars, beta, field, alpha, magnitude, delta, gamma, cluster
Topic 1473 (0.00): scene, play, prose, character, verse, act, hypocrisy, characters, love, makes
Topic 1247 (0.00): level, levels, lower, low, hierarchy, lowest, range, reached, effect, degree
Topic 1152 (0.00): error, errors, correct, wrong, mistake, mistakes, correction, incorrect, check, accuracy
Topic 107 (0.00): guy, queen, castle, mind, time, arm, lord, empress, lady, eyes
Topic 902 (0.00): harry, heather, time, boy, mind, sir, days, ago, sister, told
Topic 570 (0.00): discrimination, equal, sex, employment, race, racial, opportunities, equality, ethnic, act
Topic 935 (0.00): search, firms, executive, consultants, firm, business, headhunting, headhunters, clients, companies
Topic 164 (0.00): art, fair, dealers, market, dealer, gallery, antiques, galleries, collectors, cologne
Topic 1249 (0.00): feet, inches, inch, size, foot, tall, height, half, weight, wide
Topic 1076 (0.00): abortion, court, supreme, law, abortions, ruling, decision, legislation, federal, legal
Topic 32 (0.00): week, weeks, day, time, days, month, start, weekend, times, months
Topic 831 (0.00): energy, nature, physical, life, matter, living, force, human, field, consciousness
Topic 185 (0.00): infinitive, event, bare, time, verb, meaning, support, person, evokes, verbs
Topic 1422 (0.00): house, houses, century, poor, sir, country, taste, domestic, dickens, built
Topic 422 (0.00): crime, criminal, criminology, deviance, classical, positivist, social, behaviour, theories, criminals
Topic 895 (0.00): hostages, north, release, hostage, released, president, ransom, kidnappers, held, arms
Topic 1400 (0.00): cycle, period, time, periods, cycles, pattern, waves, phase, fluctuations, length
Topic 1153 (0.00): paper, sheet, ink, sheets, pen, papers, drawing, piece, pens, surface
Topic 1452 (0.00): guy, time, bonanza, guys, joey, yeah, told, girl, talk, money
Topic 825 (0.00): risk, risks, assessment, management, low, level, engineers, issues, safety, engineering
Topic 255 (0.00): aircraft, accident, flight, investigation, air, accidents, aviation, investigators, failure, crash
Topic 36 (0.00): text, information, languages, translation, theme, structure, language, clause, thematic, elements
Topic 669 (0.00): team, teams, task, leader, set, people, challenge, project, specialist, teamwork
Topic 540 (0.00): lee, mum, dad, house, looked, wood, dog, time, uncle, ran
Topic 660 (0.00): offer, target, company, panel, code, shareholders, takeover, companies, shares, takeovers
Topic 171 (0.00): employees, relocation, company, move, employee, staff, allowance, home, accommodation, expatriates
Topic 1089 (0.00): glass, window, windows, doors, mirror, double, glazing, door, mirrors, stained
Topic 1492 (0.00): events, event, time, sequence, occur, happened, experiences, circumstances, future, occurred
Topic 1018 (0.00): stress, anxiety, client, symptoms, coping, people, situations, clients, panic, person
Topic 1068 (0.00): tap, text, type, line, task, cursor, screen, enter, document, paragraph
Topic 1350 (0.00): board, boards, chairman, directors, meeting, governors, sir, management, director, support
Topic 402 (0.00): birds, winter, records, recorded, breeding, species, pairs, population, passage, march
Topic 1286 (0.00): risk, subjects, study, junction, junctions, ratings, films, recognition, rating, accident
Topic 889 (0.00): children, hostel, refugee, refugees, evacuation, war, house, hostels, home, youth
Topic 1020 (0.00): equation, curvature, surface, components, vector, time, gravitational, space, coordinates, metric
Topic 268 (0.00): personal, individual, privacy, people, direct, respect, responsibility, life, sense, experience
Topic 294 (0.00): rule, rules, principle, practice, apply, exceptions, sense, applied, interpretation, time
Topic 1390 (0.00): day, days, week, time, daily, hours, times, weeks, start, night
Topic 1378 (0.00): sleep, dreams, dream, dreaming, subjects, night, people, time, waking, sleeping
Topic 348 (0.00): pollution, field, control, officer, enforcement, agency, staff, job, water, compliance
Topic 1214 (0.00): information, system, systems, analysis, activities, model, support, functional, organisation, situation
Topic 758 (0.00): language, deaf, sign, people, signs, hearing, interpreting, spoken, speech, communication
Topic 1427 (0.00): rain, cobalt, told, ruby, story, time, people, flat, woman, police
Topic 345 (0.00): analysis, market, strategic, investment, competitive, corporate, product, strategy, company, porter
Topic 114 (0.00): thou, thy, thee, hath, shalt, art, lord, love, hast, doth
Topic 817 (0.00): ball, swing, club, shot, hit, position, balls, golf, shaft, player
Topic 463 (0.00): landing, raid, commando, beach, commandos, force, submarine, operations, ashore, craft
Topic 214 (0.00): layer, crystal, crystals, surface, layers, atoms, structure, lattice, form, liquid
Topic 596 (0.00): papa, mama, matey, rose, miss, girl, poor, street, life, mates
Topic 1169 (0.00): coffin, funeral, body, embalming, coffins, corpse, trade, lead, undertaker, lid
Topic 580 (0.00): body, rules, recognised, solicitors, practice, registered, act, foreign, solicitor, lawyer
Topic 1388 (0.00): husband, bank, wife, creditor, influence, security, charge, undue, surety, debtor
Topic 184 (0.00): looked, people, plane, door, white, stood, talk, captain, stopped, sat
Topic 883 (0.00): shoes, shoe, foot, pair, boots, feet, leather, heel, socks, footwear
Topic 106 (0.00): jack, worm, shepherd, ray, glory, pat, time, mother, monument, ken
Topic 1382 (0.00): cook, house, servants, lady, maid, kitchen, master, woman, servant, housekeeper
Topic 352 (0.00): fabric, curtains, curtain, edge, length, top, lining, width, heading, cut
Topic 563 (0.00): nick, breeze, auntie, felicity, mister, gay, johnny, time, people, sister
Topic 1358 (0.00): head, department, staff, deputy, school, art, director, meeting, senior, studies
Topic 1477 (0.00): classification, subject, index, subjects, scheme, notation, terms, headings, indexing, main
Topic 1081 (0.00): bath, water, bathroom, shower, hot, cold, taps, toilet, towel, lavatory
Topic 1418 (0.00): stock, customer, cash, supplier, invoice, retailer, delivery, items, total, discount
Topic 1429 (0.00): judicial, review, law, public, applicant, court, remedy, decision, standing, action
Topic 1355 (0.00): patient, suicide, patients, therapist, treatment, overdose, psychiatric, therapy, attempted, difficulties
Topic 367 (0.00): crown, monarchy, kings, king, royal, monarch, queen, sovereign, prince, coronation
Topic 429 (0.00): smell, scent, smells, odour, air, perfume, sense, nose, sweet, scents
Topic 298 (0.00): behaviour, child, intervention, reward, behaviours, time, rewards, consequences, praise, trainees
Topic 809 (0.00): land, agricultural, uplands, conservation, zone, upland, hectares, agriculture, farmers, sheep
Topic 582 (0.00): day, tour, visit, hotel, city, overnight, morning, afternoon, lake, trip
Topic 648 (0.00): body, clock, time, sleep, rhythms, rhythm, day, night, hours, daily
Topic 801 (0.00): unit, units, ramp, time, major, local, based, designed, main, larger
Topic 849 (0.00): tweed, sandy, carver, incubus, inside, bob, told, hand, security, chief
Topic 296 (0.00): write, writing, wrote, ivy, book, people, writer, time, life, writers
Topic 1363 (0.00): kite, line, kites, sail, bridle, lines, edge, wind, leading, flying
Topic 526 (0.00): eagle, cage, eagles, wings, cages, zoo, time, wind, sky, golden
Topic 1470 (0.00): dealers, dealer, clients, client, licensed, shares, stock, dealing, sell, firm
Topic 9 (0.00): dating, radiocarbon, age, isotope, samples, date, dates, composition, analysis, sample
Topic 968 (0.00): deaf, dumb, people, hearing, association, congress, education, national, deafness, time
Topic 1051 (0.00): centre, centres, shopping, staff, run, community, facilities, local, activities, main
Topic 1278 (0.00): vat, customs, tax, excise, business, rate, supply, duty, supplies, services
Topic 604 (0.00): youth, education, boys, labour, boy, workers, juvenile, service, social, school
Topic 731 (0.00): war, people, party, population, reports, speech, propaganda, popular, regime, image
Topic 1058 (0.00): pottery, clay, potter, vessels, kiln, ceramics, glass, ceramic, china, wares
Topic 1283 (0.00): peter, pan, hook, children, time, brother, sort, set, lost, story
Topic 1334 (0.00): johnny, time, chief, head, cab, bit, dead, woodbine, butcher, rose
Topic 1237 (0.00): contract, tort, action, unlawful, law, breach, act, plaintiff, trespass, liability
Topic 120 (0.00): doctor, verity, episode, series, script, production, story, time, set, cast
Topic 931 (0.00): belief, beliefs, true, knowledge, justified, false, argument, truth, justification, theory
Topic 172 (0.00): holly, camp, wire, hut, fence, barbed, millet, block, snow, guards
Topic 1395 (0.00): gall, bladder, bile, stone, stones, patients, cholesterol, acid, recurrence, free
Topic 432 (0.00): charlie, time, told, front, day, morning, shop, barrow, kitty, dad
Topic 705 (0.00): environmental, guidance, planning, environment, coastal, development, aggregates, demand, note, minerals
Topic 431 (0.00): picture, pictures, image, time, caption, story, drawing, shown, images, photograph
Topic 585 (0.00): primitive, savage, ritual, land, city, life, poem, waste, death, modern
Topic 1165 (0.00): function, functions, functional, perform, terms, essential, performed, time, required, main
Topic 1353 (0.00): time, calendar, clocks, century, moon, day, days, clock, regarded, idea
Topic 40 (0.00): gold, silver, coins, treasure, found, metal, coin, detector, search, time
Topic 351 (0.00): solution, solutions, waves, region, singularity, wave, equations, plane, functions, form
Topic 1090 (0.00): slave, slaves, slavery, trade, abolitionists, emancipation, west, abolition, reformers, religious
Topic 892 (0.00): audience, presentation, people, slide, venue, slides, conference, event, talk, time
Topic 824 (0.00): proof, theorem, set, algebra, mathematical, element, positive, definition, integers, called
Topic 682 (0.00): pig, pigs, meat, chicken, animals, wild, hens, boar, animal, chickens
Topic 28 (0.00): authority, reasons, consent, reason, person, thesis, people, obligation, obey, authorities
Topic 867 (0.00): ye, aye, bull, violet, wee, yer, ah, sonny, ma, time
Topic 549 (0.00): leadership, leader, style, leaders, task, subordinates, styles, situation, people, manager
Topic 466 (0.00): adventurers, character, test, chamber, attack, characters, magical, castle, magic, door
Topic 110 (0.00): track, heading, time, outbound, needle, aircraft, wind, position, approach, attitude
Topic 1144 (0.00): television, campaign, readers, party, labour, bias, perceptions, press, news, influence
Topic 712 (0.00): earth, sites, ancient, landscape, energy, site, found, stone, circles, energies
Topic 1315 (0.00): eating, anorexia, weight, body, anorexic, food, time, eat, bulimia, women
Topic 180 (0.00): smiths, band, rough, music, record, johnny, pop, trade, people, rock
Topic 552 (0.00): carrier, bill, bills, carriers, cargo, carriage, delivery, freight, party, ocean
Topic 1279 (0.00): resources, allocation, formula, deprivation, allocated, expenditure, resource, allocations, authorities, indicators
Topic 119 (0.00): speaker, utterance, interpretation, hearer, context, meaning, relevance, relevant, utterances, contextual
Topic 890 (0.00): rabbits, rabbit, ferret, ferrets, burrow, net, hole, time, nets, netting
Topic 1295 (0.00): housework, housewife, women, job, housewives, washing, wife, satisfaction, standards, role
Topic 1083 (0.00): milk, cheese, cheeses, dairy, cow, cows, butter, whey, soft, flavour
Topic 1467 (0.00): secret, mystery, blah, secrecy, secrets, hidden, mysteries, time, truth, solve
Topic 475 (0.00): material, materials, raw, production, produce, produced, provided, sources, source, time
Topic 87 (0.00): home, secretary, office, time, department, lord, justice, police, criminal, secretaries
