Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, head, hand, told
Topic 759 (0.00): flow, turbulent, velocity, boundary, motion, fluid, turbulence, section, layer, transition
Topic 641 (0.00): syllable, words, stress, syllables, intonation, vowel, word, sounds, pitch, sound
Topic 1458 (0.00): effect, effects, impact, affect, direct, result, adverse, indirect, affected, lead
Topic 591 (0.00): world, international, countries, globe, nations, united, people, war, million, century
Topic 628 (0.00): philosophy, knowledge, ideas, experience, idea, natural, nature, mind, philosophical, real
Topic 1014 (0.00): licence, board, licensing, premises, application, section, act, grant, liquor, subs
Topic 283 (0.00): equation, expectations, output, model, rational, aggregate, demand, period, hypothesis, price
Topic 1238 (0.00): hours, day, week, time, hour, night, days, times, period, periods
Topic 168 (0.00): style, language, text, literary, linguistic, metaphor, stylistic, reader, features, poetic
Topic 1167 (0.00): motor, torque, phase, position, current, rotor, stepping, load, step, rate
Topic 772 (0.00): society, societies, social, anthropologists, kinship, anthropology, history, property, primitive, human
Topic 1119 (0.00): notes, bass, note, chord, chords, played, string, strings, bars, solo
Topic 982 (0.00): stimulus, inhibition, latent, training, subjects, stimuli, context, conditioning, test, acquired
Topic 1252 (0.00): file, records, record, files, index, track, storage, overflow, data, access
Topic 979 (0.00): coal, miners, industry, mining, pit, pits, mines, colliery, mine, miner
Topic 1386 (0.00): pressure, temperature, gas, energy, mass, solution, equation, liquid, solvent, molar
Topic 201 (0.00): frequency, input, figure, signal, output, filter, circuit, impedance, equation, section
Topic 657 (0.00): academic, education, knowledge, student, discipline, students, disciplines, curriculum, intellectual, courses
Topic 857 (0.00): breed, cattle, breeds, red, white, beef, type, milk, cows, bulls
Topic 798 (0.00): regional, region, regions, local, development, national, northern, east, south, central
Topic 529 (0.00): expert, parties, arbitration, dispute, decision, experts, arbitrator, court, disputes, determination
Topic 1034 (0.00): wind, storm, rain, lightning, thunder, winds, blowing, clouds, force, sky
Topic 860 (0.00): stage, stages, process, development, final, initial, form, begin, sequence, period
Topic 1341 (0.00): insurance, life, plan, policy, cover, assurance, accident, monthly, benefits, sum
Topic 411 (0.00): fraud, money, financial, company, compensation, report, investors, million, trade, bank
Topic 1261 (0.00): income, wealth, distribution, inequalities, equality, inequality, society, social, economic, poor
Topic 449 (0.00): property, agent, estate, agents, properties, market, sale, selling, sell, agency
Topic 900 (0.00): fruit, apple, apples, tree, fruits, trees, varieties, oranges, nuts, garden
Topic 717 (0.00): camera, shot, shots, film, lens, camcorder, picture, action, scene, cameras
Topic 1005 (0.00): gay, lesbian, homosexual, lesbians, homosexuality, sexual, sex, heterosexual, sexuality, gays
Topic 898 (0.00): credit, people, consumer, cost, loans, cash, customers, money, consumers, trading
Topic 923 (0.00): interview, job, candidate, interviews, interviewer, candidates, person, experience, selection, questions
Topic 558 (0.00): information, user, search, library, database, users, online, retrieval, microcomputer, searching
Topic 724 (0.00): field, magnetic, current, electric, charge, flux, voltage, potential, charges, density
Topic 659 (0.00): music, notes, harmony, melody, harmonic, note, rhythmic, form, phrase, chords
Topic 1196 (0.00): model, models, modelling, simulation, results, fit, behaviour, process, effects, complex
Topic 47 (0.00): oil, oils, herbs, plant, leaves, essential, herb, aroma, dried, plants
Topic 1255 (0.00): beer, brewery, brewers, brewing, whisky, beers, ale, pubs, breweries, lager
Topic 401 (0.00): radiation, lead, exposure, cancer, dose, levels, health, leukaemia, nuclear, effects
Topic 627 (0.00): air, airlines, airline, airport, aircraft, airways, aviation, flight, passengers, international
Topic 468 (0.00): light, sound, waves, bat, bats, frequency, frequencies, detect, range, world
Topic 1389 (0.00): football, fans, violence, boys, hooligans, hooliganism, hooligan, youth, street, disorder
Topic 1262 (0.00): john, time, left, people, grant, told, home, leave, friends, mick
Topic 231 (0.00): bus, transport, buses, public, services, travel, service, passengers, rail, fares
Topic 921 (0.00): port, ferry, dock, ports, harbour, docks, cargo, ships, company, shipping
Topic 554 (0.00): rose, coffin, house, street, time, boy, girl, lane, looked, biff
Topic 175 (0.00): united, kingdom, countries, nations, country, overseas, northern, time, international, community
Topic 642 (0.00): earth, surface, moon, figure, mercury, atmosphere, planet, lunar, solar, impact
Topic 1235 (0.00): pockets, tent, nylon, bag, fabric, jacket, bags, zip, fleece, comfortable
Topic 1017 (0.00): miss, honey, father, headmistress, school, dear, children, class, cried, beard
Topic 1472 (0.00): fish, fishing, salmon, fishermen, sea, trout, cod, boats, catch, fisheries
Topic 869 (0.00): measure, index, ratio, measures, ratios, performance, indicators, measurement, measured, average
Topic 1338 (0.00): instruction, store, instructions, computer, accumulator, set, operation, address, bit, register
Topic 1311 (0.00): ace, doctor, lacuna, pool, shuttle, space, pod, suit, station, looked
Topic 1113 (0.00): left, hemisphere, subjects, visual, speech, field, task, brain, ear, found
Topic 929 (0.00): arm, oral, plates, tentacle, disk, shields, spines, scales, shield, covered
Topic 714 (0.00): patient, consent, treatment, doctor, medical, decision, doctors, refusal, minor, legal
Topic 520 (0.00): cave, caves, gill, limestone, rock, feet, underground, fell, pot, hole
Topic 242 (0.00): examination, examinations, candidates, level, grade, certificate, grades, pass, marks, exam
Topic 701 (0.00): poor, workhouse, board, relief, guardians, medical, infirmary, parish, hospital, committee
Topic 497 (0.00): sally, sergeant, inspector, mills, superintendent, chief, murder, detective, time, told
Topic 1221 (0.00): game, play, games, playing, chess, played, player, board, players, rules
Topic 611 (0.00): infection, worms, larvae, eggs, clinical, worm, host, signs, species, parasitic
Topic 822 (0.00): station, railway, stations, railways, built, central, building, line, style, lines
Topic 445 (0.00): contractor, construction, cost, contract, building, builder, project, site, labour, surveyor
Topic 528 (0.00): hand, finger, hands, fingers, thumb, left, head, nose, palm, mouth
Topic 1327 (0.00): rope, tied, knot, ropes, top, round, tie, feet, pull, string
Topic 16 (0.00): social, international, relations, explanation, individuals, realism, explanations, action, actors, account
Topic 625 (0.00): humour, jokes, comic, comedy, joke, funny, laugh, laughter, audience, punch
Topic 1434 (0.00): office, post, offices, staff, department, secretary, head, business, secretaries, telephone
Topic 644 (0.00): immigration, immigrants, country, passport, citizens, citizenship, foreign, people, illegal, foreigners
Topic 1054 (0.00): father, riddle, time, uncle, garland, shop, looked, sir, house, office
Topic 471 (0.00): brother, brothers, sister, family, sisters, father, mother, uncle, cousins, elder
Topic 1078 (0.00): peace, war, international, league, nations, world, government, foreign, pacifist, movement
Topic 41 (0.00): contract, contracts, tender, competitive, services, tendering, contractors, company, contracting, awarded
Topic 1298 (0.00): witchcraft, magic, spirits, evil, powers, devil, spirit, occult, psychic, power
Topic 914 (0.00): convention, service, court, evidence, united, law, request, documents, article, foreign
Topic 387 (0.00): foreign, diplomatic, century, ambassador, diplomacy, diplomats, relations, government, embassy, ministry
Topic 1251 (0.00): stolen, security, police, home, thieves, thief, car, theft, house, door
Topic 145 (0.00): change, changed, modern, traditional, time, ago, attitude, times, attitudes, view
Topic 167 (0.00): light, jay, lighting, lights, lamps, lamp, cable, switch, electric, electrical
Topic 1123 (0.00): move, direction, moving, movement, moves, forward, moved, backwards, opposite, forwards
Topic 1198 (0.00): damages, loss, compensation, award, plaintiff, claim, awarded, court, injury, amount
Topic 530 (0.00): lava, eruption, volcanic, volcano, volcanoes, eruptions, ash, activity, magma, surface
Topic 876 (0.00): ideology, knowledge, social, consciousness, sociology, relations, theory, practice, ideological, science
Topic 716 (0.00): structure, residues, protein, base, helix, domain, molecules, data, interactions, complex
Topic 829 (0.00): metal, iron, copper, metals, steel, lead, silver, alloy, zinc, bronze
Topic 925 (0.00): paper, white, government, proposals, policy, published, green, report, review, public
Topic 833 (0.00): united, oxford, town, goal, win, tomorrow, season, team, game, ground
Topic 875 (0.00): forest, king, forests, royal, foresters, crown, justice, dean, woods, rights
Topic 557 (0.00): innovation, creative, ideas, creativity, thinking, technology, process, innovations, product, people
Topic 0 (0.00): wine, wines, champagne, grape, grapes, bottle, sparkling, bottles, flavour, vintage
Topic 136 (0.00): police, arrest, peace, constable, person, breach, public, law, duty, power
Topic 1457 (0.00): camp, war, prisoners, escape, camps, people, time, food, prison, prisoner
Topic 1439 (0.00): status, social, society, stratification, system, class, position, prestige, caste, hierarchy
Topic 257 (0.00): smoking, tobacco, cigarette, smoke, cigarettes, smokers, cancer, health, advertising, smoked
Topic 544 (0.00): psychology, feminist, psychologists, psychological, women, gender, social, subject, subjects, differences
Topic 588 (0.00): plants, plant, control, genetic, pest, pesticides, pests, biotechnology, resistance, chemicals
Topic 1259 (0.00): soviet, military, gulf, security, neutralisation, region, world, countries, western, foreign
Topic 501 (0.00): screening, genetic, congenital, handicap, mental, gene, abnormalities, syndrome, affected, risk
Topic 51 (0.00): list, lists, names, items, listed, include, item, included, listing, write
Topic 311 (0.00): emperor, hydra, valence, power, warp, biff, imperial, human, marine, fists
Topic 1256 (0.00): client, clients, firm, lawyer, lawyers, professional, instructions, practice, personal, law
Topic 639 (0.00): futures, price, index, prices, spot, market, delivery, contract, volatility, arbitrage
Topic 1145 (0.00): sword, knife, blade, knives, weapon, weapons, swords, armour, axe, dagger
Topic 1258 (0.00): fusion, energy, hydrogen, neutrons, nuclear, helium, nuclei, heat, atomic, plasma
Topic 68 (0.00): muscles, segment, insects, head, segments, form, body, wings, insect, organs
Topic 56 (0.00): owl, bone, bones, prey, species, assemblages, predator, digestion, teeth, owls
Topic 1015 (0.00): wood, timber, tools, carving, furniture, piece, oak, wooden, grain, finish
Topic 645 (0.00): aunt, uncle, dear, house, mother, miss, tea, time, pleasure, sat
Topic 1351 (0.00): partners, firm, partner, partnership, business, practice, agreement, firms, profits, share
Topic 85 (0.00): speed, fast, slow, faster, time, pace, speeds, slower, rate, tempo
Topic 63 (0.00): hero, adventure, heroes, honour, story, romantic, book, character, courage, romance
Topic 94 (0.00): messiah, rabbi, tradition, time, roman, testament, holy, gospels, synagogue, religious
Topic 576 (0.00): publisher, agreement, party, parties, video, schedule, licensed, rights, trade, terms
Topic 938 (0.00): sailing, board, sail, wind, winds, water, rig, boards, dinghy, fig
Topic 1460 (0.00): object, objects, world, material, form, subject, nature, relationship, culture, properties
Topic 579 (0.00): coins, coin, coinage, roman, found, century, ad, evidence, period, silver
Topic 1142 (0.00): ideas, idea, people, concept, thinking, mind, time, suggestions, book, notion
Topic 882 (0.00): cart, horse, horses, donkey, road, day, yard, time, carts, wagon
Topic 972 (0.00): time, tasks, spent, task, spend, activities, priorities, priority, activity, job
Topic 871 (0.00): experiment, experiments, experimental, results, subjects, subject, effect, laboratory, test, experimenter
Topic 456 (0.00): remedy, remedies, patient, symptoms, homoeopathic, treatment, homoeopathy, dose, potency, disease
Topic 1007 (0.00): net, turnover, quarter, rose, time, share, losses, profits, profit, reported
Topic 695 (0.00): business, investment, customer, firm, rules, customers, apply, transaction, investments, authorised
Topic 197 (0.00): attention, focus, draw, concentration, attract, focused, paid, pay, critical, drawing
Topic 685 (0.00): matrix, form, elements, equation, matrices, diagonal, equations, element, column, columns
Topic 1229 (0.00): alcohol, drink, drinking, alcoholic, drinks, drunk, beer, wine, people, consumption
Topic 874 (0.00): species, elephant, trade, wildlife, elephants, conservation, endangered, ivory, world, wild
Topic 29 (0.00): design, space, assembly, cad, geometric, data, figure, drawing, file, designer
Topic 545 (0.00): rent, tenant, tenancy, possession, tenants, landlord, lease, term, act, leases
Topic 1140 (0.00): consideration, contract, promise, agreement, obligation, pay, payment, plaintiff, law, defendant
Topic 998 (0.00): search, node, algorithm, nodes, path, goal, tree, set, space, learning
Topic 1099 (0.00): sexual, desire, difference, homosexuality, sexuality, homosexual, identity, gender, social, masculinity
Topic 966 (0.00): creole, speaker, conversation, speakers, topic, discourse, talk, features, conversational, patois
Topic 1323 (0.00): bond, bonds, yield, rate, maturity, price, coupon, cent, rates, yields
Topic 995 (0.00): post, mail, office, stamps, delivery, service, stamp, letter, postal, royal
Topic 1111 (0.00): class, classes, middle, social, ruling, lower, upper, terms, time, common
Topic 1246 (0.00): ontological, propositions, properties, existence, sense, concept, idea, exist, proposition, relations
Topic 912 (0.00): eggs, egg, nest, female, cuckoo, hatch, male, lay, host, parents
Topic 1105 (0.00): task, performance, tasks, human, operator, skills, training, skill, information, required
Topic 997 (0.00): law, theory, liberal, liberalism, dicey, conception, theories, modern, liberty, society
Topic 397 (0.00): colonial, imperial, empire, rule, independence, government, native, colonies, administration, commonwealth
Topic 723 (0.00): death, died, inquest, coroner, told, verdict, deaths, evidence, suicide, found
Topic 566 (0.00): workers, temporary, labour, employment, casual, agency, permanent, seasonal, force, contract
Topic 1132 (0.00): standards, standard, quality, requirements, set, practice, performance, required, ensure, national
Topic 1220 (0.00): image, images, screen, imaging, resolution, pixel, display, colour, scanner, scan
Topic 1438 (0.00): figure, vertical, horizontal, line, shown, axis, lines, diagram, left, lower
Topic 1271 (0.00): terms, contract, standard, conditions, contracts, buyer, parties, seller, party, business
Topic 607 (0.00): flowers, picture, design, pressed, flower, leaves, frame, press, create, shape
Topic 1481 (0.00): discovery, found, search, discovered, time, led, story, mystery, discover, revealed
Topic 1050 (0.00): question, answer, questions, answered, law, response, examiner, words, answering, opinion
Topic 237 (0.00): paid, payment, money, law, payments, principle, pay, demand, duress, compulsion
Topic 1226 (0.00): punishment, death, penalty, capital, crime, corporal, penal, criminal, law, abolition
Topic 796 (0.00): petrol, fuel, diesel, cars, engine, car, engines, lead, unleaded, exhaust
Topic 194 (0.00): libel, action, public, law, sue, corporation, reputation, statement, defamation, defamatory
Topic 927 (0.00): trench, piper, commando, orchard, brigade, road, time, village, commandos, positions
Topic 1012 (0.00): responsibility, blame, people, wrong, responsible, fault, accept, guilt, person, feel
Topic 788 (0.00): data, database, relation, attributes, figure, model, relational, entity, relations, key
Topic 1268 (0.00): grains, grain, minerals, sediment, size, particles, mineral, sediments, quartz, rock
Topic 481 (0.00): embryos, microscope, section, surface, solution, slide, glass, thin, sections, method
Topic 1407 (0.00): trust, trustees, income, settlement, property, trustee, resident, benefit, beneficiary, trusts
Topic 1210 (0.00): shop, carriage, vehicles, built, fitted, wheels, train, coach, trailer, compartment
Topic 53 (0.00): learning, behaviour, response, animal, stimulus, learned, responses, learn, behavioural, food
Topic 658 (0.00): stone, stones, rock, age, found, ancient, burial, standing, remains, circle
Topic 839 (0.00): life, quality, death, living, expectancy, lives, live, time, person, lived
Topic 198 (0.00): billy, bit, real, cos, sort, pretty, round, summat, people, nice
Topic 183 (0.00): cat, cats, animal, pet, kitten, feline, kittens, dog, owners, human
Topic 1101 (0.00): tom, willie, terry, boy, mister, porter, time, bill, yer, bit
Topic 1296 (0.00): strength, material, stress, crack, materials, glass, fracture, surface, fibres, brittle
Topic 638 (0.00): copyright, patent, patents, design, invention, program, computer, infringement, protection, rights
Topic 1377 (0.00): pupils, questions, test, success, tests, criteria, criterion, items, pupil, mathematics
Topic 1405 (0.00): electricity, boards, industry, power, consumers, gas, supply, board, central, demand
Topic 1192 (0.00): fishing, vessel, community, law, vessels, article, nationality, court, commission, national
Topic 308 (0.00): district, education, board, adult, courses, rural, classes, university, provision, tutors
Topic 1060 (0.00): age, life, ageing, people, youth, ages, time, late, women, aged
Topic 1357 (0.00): records, record, diary, diaries, recorded, registers, register, entry, date, notes
Topic 538 (0.00): mick, desert, tent, sand, miles, paddy, camp, water, land, day
Topic 1162 (0.00): doctor, bishop, time, miles, replied, piper, forward, cell, mind, ship
Topic 419 (0.00): word, words, spelling, letters, reading, letter, visual, model, phonological, system
Topic 1085 (0.00): space, satellite, satellites, launch, programme, shuttle, launched, earth, craft, orbit
Topic 474 (0.00): universe, time, theory, matter, laws, bang, principle, gravity, science, expanding
Topic 11 (0.00): band, bands, playing, wedding, gigs, gig, tour, played, time, play
Topic 812 (0.00): trust, trusts, words, estate, legacy, intention, heir, property, beneficiary, left
Topic 246 (0.00): disease, addictive, sufferer, recovery, addiction, primary, anonymous, sufferers, consequences, family
Topic 333 (0.00): myth, tragedy, art, music, classical, world, tragic, drama, spirit, poetry
Topic 259 (0.00): refugees, asylum, people, refugee, country, home, repatriation, boat, government, united
Topic 746 (0.00): house, houses, building, built, homes, people, build, home, family, owners
Topic 64 (0.00): situation, difficult, deal, cope, situations, time, circumstances, hard, dealing, position
Topic 127 (0.00): birthday, anniversary, day, celebrations, party, celebrated, happy, celebrate, time, occasion
Topic 902 (0.00): harry, heather, time, boy, mind, told, sir, sister, hope, deuce
Topic 1339 (0.00): boy, hank, boys, girl, time, mother, son, school, child, father
Topic 227 (0.00): lifespan, file, process, directory, files, user, configuration, error, manager, command
Topic 908 (0.00): mosaic, mosaics, pi, pavement, pavements, designs, design, north, central, squares
Topic 1150 (0.00): retirement, age, workers, employment, people, labour, pension, retired, pensions, elderly
Topic 1320 (0.00): humans, human, looked, store, time, ship, truck, quarry, lot, people
Topic 1424 (0.00): eye, eyes, light, lenses, lens, vision, glasses, retina, image, contact
Topic 415 (0.00): theory, observation, science, theories, statements, scientific, observations, hypothesis, laws, induction
Topic 117 (0.00): tunnel, channel, rail, link, cross, project, king, transport, route, station
Topic 1247 (0.00): level, levels, lower, low, lowest, hierarchy, difficult, time, set, structure
Topic 1364 (0.00): fascist, fascism, fascists, political, movement, national, war, organization, party, public
Topic 935 (0.00): search, firms, executive, consultants, firm, business, headhunting, headhunters, clients, companies
Topic 942 (0.00): map, maps, data, spatial, survey, ordnance, grid, boundaries, mapping, figure
Topic 1253 (0.00): hunt, hunting, fox, deer, hounds, foxes, shooting, country, field, grouse
Topic 1249 (0.00): feet, inches, inch, foot, size, tall, height, half, weight, wide
Topic 744 (0.00): faith, doubt, god, christian, truth, belief, doubts, reason, understanding, true
Topic 1473 (0.00): scene, play, prose, character, verse, act, hypocrisy, characters, makes, love
Topic 107 (0.00): guy, mind, queen, castle, time, empress, arm, lord, eyes, aye
Topic 669 (0.00): team, teams, task, leader, people, specialist, time, challenge, individual, teamwork
Topic 535 (0.00): god, human, life, created, time, religion, civilisation, goodness, evolution, religious
Topic 1181 (0.00): oxygen, breathing, lung, respiratory, air, chest, lungs, pulse, rate, pulmonary
Topic 25 (0.00): candy, viola, eyes, club, returned, time, simply, burns, life, head
Topic 213 (0.00): stars, star, binoculars, alpha, beta, field, magnitude, gamma, delta, cluster
Topic 570 (0.00): discrimination, equal, sex, employment, race, opportunities, racial, equality, act, women
Topic 1152 (0.00): error, errors, correct, wrong, mistakes, mistake, correction, incorrect, corrected, spelling
Topic 185 (0.00): infinitive, event, bare, verb, time, meaning, support, person, verbs, evokes
Topic 1076 (0.00): abortion, court, supreme, law, abortions, ruling, legislation, decision, federal, legal
Topic 164 (0.00): art, fair, dealers, dealer, market, antiques, gallery, galleries, collectors, cologne
Topic 32 (0.00): week, weeks, days, day, time, start, month, times, ago, date
Topic 36 (0.00): text, information, languages, translation, theme, structure, clause, language, thematic, element
Topic 1400 (0.00): cycle, period, time, cycles, periods, pattern, waves, fluctuations, phase, length
Topic 1350 (0.00): board, boards, chairman, directors, meeting, governors, management, support, director, future
Topic 1020 (0.00): equation, curvature, surface, time, vector, components, space, gravitational, coordinates, metric
Topic 422 (0.00): crime, criminal, criminology, deviance, classical, positivist, social, behaviour, theories, deviant
Topic 895 (0.00): hostages, north, release, hostage, released, president, kidnappers, ransom, held, arms
Topic 1089 (0.00): glass, window, windows, doors, mirror, double, glazing, wall, stained, mirrors
Topic 1422 (0.00): house, houses, century, poor, sir, dickens, cottage, country, eighteenth, domestic
Topic 1018 (0.00): stress, anxiety, client, symptoms, situations, coping, clients, therapist, person, panic
Topic 831 (0.00): energy, nature, life, living, physical, field, matter, consciousness, forces, force
Topic 660 (0.00): offer, company, target, panel, code, takeover, shareholders, companies, shares, takeovers
Topic 1378 (0.00): sleep, dreams, dream, dreaming, subjects, night, people, waking, sleeping, slow
Topic 402 (0.00): birds, winter, records, recorded, breeding, species, pairs, population, passage, march
Topic 294 (0.00): rule, rules, principle, practice, apply, interpretation, set, sense, thumb, exceptions
Topic 1492 (0.00): events, event, time, occur, sequence, happen, future, happened, circumstances, major
Topic 1153 (0.00): paper, sheet, ink, sheets, pen, papers, pens, drawing, black, pencil
Topic 1286 (0.00): risk, subjects, junction, study, junctions, ratings, films, recognition, rating, accident
Topic 540 (0.00): lee, mum, dad, looked, house, wood, dog, uncle, time, ran
Topic 171 (0.00): employees, relocation, company, move, staff, employee, allowance, accommodation, home, expatriates
Topic 758 (0.00): language, sign, deaf, people, signs, hearing, interpreting, spoken, signing, communication
Topic 889 (0.00): children, hostel, refugee, refugees, war, evacuation, house, foster, youth, hostels
Topic 1452 (0.00): guy, guys, bonanza, time, joey, yeah, girl, told, talk, money
Topic 1068 (0.00): tap, text, type, task, line, cursor, screen, enter, document, paragraph
Topic 1214 (0.00): information, system, systems, analysis, model, activities, support, organisation, considered, functional
Topic 268 (0.00): personal, individual, sense, direct, privacy, respect, responsibility, experience, individuals, private
Topic 1390 (0.00): day, days, week, time, daily, hours, weeks, half, times, start
Topic 1051 (0.00): centre, centres, shopping, staff, local, community, run, facilities, including, main
Topic 214 (0.00): layer, crystal, crystals, surface, structure, layers, atoms, lattice, crystalline, temperature
Topic 825 (0.00): risk, risks, management, assessment, low, engineers, level, engineering, safety, potential
Topic 580 (0.00): body, recognised, rules, solicitors, registered, practice, act, solicitor, foreign, company
Topic 1169 (0.00): coffin, funeral, body, embalming, coffins, trade, corpse, lead, lid, undertaker
Topic 1358 (0.00): head, department, staff, deputy, school, art, director, meeting, studies, senior
Topic 345 (0.00): market, analysis, investment, strategic, competitive, corporate, product, strategy, company, financial
Topic 1382 (0.00): cook, servants, house, lady, maid, kitchen, woman, servant, household, master
Topic 184 (0.00): looked, plane, people, door, stood, talk, white, stopped, captain, sat
Topic 114 (0.00): thou, thy, thee, shalt, lord, hath, art, love, sweet, doth
Topic 1427 (0.00): rain, cobalt, told, ruby, story, time, flat, people, police, woman
Topic 1477 (0.00): classification, subject, index, subjects, scheme, terms, notation, headings, indexing, main
Topic 352 (0.00): fabric, curtains, curtain, edge, length, top, lining, width, heading, cut
Topic 106 (0.00): jack, shepherd, worm, ray, pat, glory, ken, dad, monument, mum
Topic 296 (0.00): write, writing, wrote, ivy, book, writer, people, books, time, writers
Topic 1388 (0.00): bank, husband, wife, creditor, influence, charge, security, undue, surety, debtor
Topic 255 (0.00): aircraft, accident, flight, investigation, accidents, investigators, aviation, crash, failure, report
Topic 817 (0.00): ball, swing, club, shot, hit, balls, position, shaft, play, player
Topic 1418 (0.00): stock, customer, cash, invoice, supplier, retailer, delivery, items, discount, item
Topic 348 (0.00): pollution, field, officer, control, enforcement, agency, staff, job, water, compliance
Topic 429 (0.00): smell, scent, smells, odour, perfume, air, nose, sense, scents, taste
Topic 463 (0.00): landing, commando, raid, beach, force, commandos, enemy, operations, craft, submarine
Topic 648 (0.00): body, clock, time, sleep, rhythms, day, night, rhythm, hours, temperature
Topic 1081 (0.00): bath, water, bathroom, shower, hot, toilet, towel, taps, cold, soap
Topic 596 (0.00): papa, mama, matey, rose, miss, poor, life, girl, street, master
Topic 367 (0.00): crown, monarchy, kings, monarch, royal, sovereign, king, prince, queen, coronation
Topic 849 (0.00): tweed, sandy, carver, inside, incubus, told, bob, phone, chief, time
Topic 298 (0.00): behaviour, child, intervention, reward, behaviours, rewards, time, consequences, parents, trainees
Topic 563 (0.00): nick, breeze, auntie, felicity, gay, mister, johnny, people, time, miss
Topic 582 (0.00): day, tour, visit, hotel, city, overnight, morning, cruise, afternoon, drive
Topic 1429 (0.00): judicial, review, law, public, applicant, remedy, court, decision, standing, action
Topic 1278 (0.00): vat, customs, tax, excise, business, rate, duty, supply, supplies, pay
Topic 9 (0.00): dating, radiocarbon, age, isotope, samples, composition, dates, date, sample, analysis
Topic 1237 (0.00): contract, tort, action, law, unlawful, plaintiff, breach, trespass, act, person
Topic 1355 (0.00): patient, suicide, patients, therapist, treatment, overdose, psychiatric, attempted, therapy, difficulties
Topic 809 (0.00): land, agricultural, uplands, conservation, zone, upland, agriculture, hectares, sheep, grants
Topic 604 (0.00): youth, education, labour, boys, boy, workers, juvenile, social, service, reformers
Topic 1363 (0.00): kite, line, kites, sail, bridle, lines, wind, edge, leading, flying
Topic 1470 (0.00): dealers, dealer, clients, client, licensed, shares, stock, dealing, sell, firm
Topic 526 (0.00): eagle, cage, eagles, wings, cages, zoo, time, golden, sky, talons
Topic 968 (0.00): deaf, dumb, people, hearing, association, congress, education, national, time, deafness
Topic 172 (0.00): holly, camp, wire, hut, fence, millet, barbed, guards, block, snow
Topic 801 (0.00): unit, units, ramp, single, local, time, major, designed, operating, main
Topic 883 (0.00): shoes, shoe, foot, pair, feet, boots, leather, heel, socks, footwear
Topic 585 (0.00): primitive, savage, ritual, city, life, land, poem, waste, modern, world
Topic 705 (0.00): environmental, planning, guidance, development, environment, coastal, aggregates, demand, note, government
Topic 1395 (0.00): gall, bladder, bile, stone, patients, stones, cholesterol, acid, recurrence, free
Topic 1058 (0.00): pottery, clay, potter, vessels, kiln, glass, potters, ceramics, production, china
Topic 731 (0.00): war, people, party, population, reports, propaganda, speech, time, regime, popular
Topic 1283 (0.00): peter, pan, time, hook, brother, sort, children, story, lost, set
Topic 432 (0.00): charlie, time, told, front, day, shop, morning, barrow, kitty, salmon
Topic 892 (0.00): audience, presentation, people, slide, slides, venue, conference, time, talk, event
Topic 475 (0.00): material, materials, raw, production, produced, produce, source, provided, provide, sources
Topic 87 (0.00): home, secretary, office, department, time, lord, criminal, police, justice, sir
Topic 1334 (0.00): johnny, chief, head, time, cab, rose, butcher, bit, boy, woodbine
Topic 1165 (0.00): function, functions, functional, perform, performed, essential, terms, functioning, time, concerned
Topic 120 (0.00): doctor, verity, script, series, episode, time, set, story, production, serial
Topic 682 (0.00): pig, pigs, animals, chicken, hens, animal, boar, meat, wild, chickens
Topic 351 (0.00): solution, solutions, waves, region, singularity, wave, equations, functions, plane, boundary
Topic 28 (0.00): authority, consent, reasons, reason, person, obey, thesis, authorities, obligation, legitimate
Topic 180 (0.00): smiths, band, rough, music, johnny, record, trade, rock, pop, people
Topic 1295 (0.00): housework, housewife, women, job, housewives, washing, satisfaction, wife, standards, social
Topic 1232 (0.00): line, lines, straight, dividing, direction, dotted, front, length, parallel, drawn
Topic 431 (0.00): picture, pictures, image, time, story, caption, drawing, images, draw, background
Topic 466 (0.00): adventurers, character, test, chamber, attack, castle, magical, characters, magic, door
Topic 867 (0.00): ye, aye, wee, violet, bull, yer, sonny, ah, ma, time
Topic 656 (0.00): card, cards, credit, finch, visa, express, trump, time, special, pack
Topic 712 (0.00): earth, sites, ancient, landscape, energy, found, energies, site, circles, lines
Topic 614 (0.00): activity, activities, time, person, level, involved, active, engaged, form, kinds
Topic 931 (0.00): belief, beliefs, true, knowledge, justified, argument, false, truth, justification, theory
Topic 1090 (0.00): slave, slaves, slavery, trade, abolitionists, emancipation, west, abolition, reformers, religious
Topic 1144 (0.00): television, campaign, readers, party, labour, bias, news, perceptions, press, influence
Topic 249 (0.00): future, forecasts, forecasting, forecast, trends, sales, market, techniques, predict, projections
Topic 1279 (0.00): resources, allocation, formula, resource, deprivation, expenditure, allocated, services, indicators, allocations
Topic 40 (0.00): gold, silver, coins, treasure, metal, coin, found, detector, time, search
Topic 110 (0.00): track, time, heading, outbound, needle, wind, position, attitude, check, approach
Topic 824 (0.00): proof, theorem, set, definition, integers, algebra, called, element, elements, positive
Topic 1353 (0.00): time, calendar, clocks, century, clock, moon, day, days, regarded, sun
Topic 890 (0.00): rabbits, rabbit, ferret, ferrets, net, burrow, time, hole, nets, line
Topic 555 (0.00): lord, lords, noble, house, learned, friend, speech, chancellor, lordship, opinion
Topic 981 (0.00): safe, dangerous, danger, time, risk, bald, real, harm, safety, security
Topic 1083 (0.00): milk, cheese, cheeses, cow, dairy, cows, butter, supply, flavour, formula
